"postcode","ls_tag"
"LS1  2HQ",1
"LS1 2HR",1
"LS1  2HR",1
"LS1 2HS",1
"LS1  2HS",1
"LS1 2HT",1
"LS1  2HT",1
"LS1 2HU",1
"LS1  2HU",1
"LS1 2HW",1
"LS1  2HW",1
"LS1 2HX",1
"LS1  2HX",1
"LS1 2HY",1
"LS1  2HY",1
"LS1 2HZ",1
"LS1  2HZ",1
"LS1 2JA",1
"LS1  2JA",1
"LS1 2JB",1
"LS1  2JB",1
"LS1 2JD",1
"LS1  2JD",1
"LS1 2JE",1
"LS1  2JE",1
"LS1 2JF",1
"LS1  2JF",1
"LS1 2JG",1
"LS1  2JG",1
"LS1 2JH",1
"LS1  2JH",1
"LS1 2JJ",1
"LS1  2JJ",1
"LS1 2JL",1
"LS1  2JL",1
"LS1 2JN",1
"LS1  2JN",1
"LS1 2JP",1
"LS1  2JP",1
"LS1 2JQ",1
"LS1  2JQ",1
"LS1 2JR",1
"LS1  2JR",1
"LS1 2JS",1
"LS1  2JS",1
"LS1 2JT",1
"LS1  2JT",1
"LS1 2JU",1
"LS1  2JU",1
"LS1 2JW",1
"LS1  2JW",1
"LS1 2JX",1
"LS1  2JX",1
"LS1 2JY",1
"LS1  2JY",1
"LS1 2JZ",1
"LS1  2JZ",1
"LS1 2LA",1
"LS1  2LA",1
"LS1 2LB",1
"LS1  2LB",1
"LS1 2LD",1
"LS1  2LD",1
"LS1 2LE",1
"LS1  2LE",1
"LS1 2LF",1
"LS1  2LF",1
"LS1 2LG",1
"LS1  2LG",1
"LS1 2LH",1
"LS1  2LH",1
"LS1 2LJ",1
"LS1  2LJ",1
"LS1 2LN",1
"LS1  2LN",1
"LS1 2LP",1
"LS1  2LP",1
"LS1 2LQ",1
"LS1  2LQ",1
"LS1 2LR",1
"LS1  2LR",1
"LS1 2LS",1
"LS1  2LS",1
"LS1 2LT",1
"LS1  2LT",1
"LS1 2LU",1
"LS1  2LU",1
"LS1 2LW",1
"LS1  2LW",1
"LS1 2LX",1
"LS1  2LX",1
"LS1 2LY",1
"LS1  2LY",1
"LS1 2LZ",1
"LS1  2LZ",1
"LS1 2NA",1
"LS1  2NA",1
"LS1 2NB",1
"LS1  2NB",1
"LS1 2ND",1
"LS1  2ND",1
"LS1 2NE",1
"LS1  2NE",1
"LS1 2NG",1
"LS1  2NG",1
"LS1 2NH",1
"LS1  2NH",1
"LS1 2NJ",1
"LS1  2NJ",1
"LS1 2NL",1
"LS1  2NL",1
"LS1 2NN",1
"LS1  2NN",1
"LS1 2NP",1
"LS1  2NP",1
"LS1 2NQ",1
"LS1  2NQ",1
"LS1 2NR",1
"LS1  2NR",1
"LS1 2NS",1
"LS1  2NS",1
"LS1 2NT",1
"LS1  2NT",1
"LS1 2NU",1
"LS1  2NU",1
"LS1 2NW",1
"LS1  2NW",1
"LS1 2NX",1
"LS1  2NX",1
"LS1 2NY",1
"LS1  2NY",1
"LS1 2NZ",1
"LS1  2NZ",1
"LS1 2PA",1
"LS1  2PA",1
"LS1 2PB",1
"LS1  2PB",1
"LS1 2PD",1
"LS1  2PD",1
"LS1 2PE",1
"LS1  2PE",1
"LS1 2PF",1
"LS1  2PF",1
"LS1 2PG",1
"LS1  2PG",1
"LS1 2PH",1
"LS1  2PH",1
"LS1 2PJ",1
"LS1  2PJ",1
"LS1 2PL",1
"LS1  2PL",1
"LS1 2PN",1
"LS1  2PN",1
